id_pedido,data_pedido,id_cliente,nome_cliente,email_cliente,cidade_cliente,estado_cliente,id_produto,nome_produto,categoria,quantidade,preco_unitario,preco_total,metodo_pagamento,status_pedido,ano,mes,dia_semana
PEDIDO-1032,2026-02-04,CLIENTE-158,Sra. Pietra Novais,souzaisis@example.org,Moura Alegre,CE,PRODUTO-8811,HD externo,Eletrônicos,5,356.99,1784.95,Transferência,Entregue,2026,2,Wednesday
PEDIDO-1033,2025-04-08,CLIENTE-170,Antony Castro,milena09@example.org,Vasconcelos,TO,PRODUTO-2113,Velas aromáticas,Casa E Decoração,2,837.36,1674.72,Transferência,Entregue,2025,4,Tuesday
PEDIDO-1034,2025-12-24,CLIENTE-140,Melina Moreira,aurora26@example.org,Cassiano De Martins,PA,PRODUTO-2343,Cortina,Casa E Decoração,5,1152.19,5760.950000000001,Pix,Processando,2025,12,Wednesday
PEDIDO-1035,2025-06-02,CLIENTE-833,Alexandre Teixeira,da-matamaria@example.org,Pinto De Albuquerque,RO,PRODUTO-4910,Chinelo,Calçados,4,305.21,1220.84,Pix,Processando,2025,6,Monday
PEDIDO-1036,2026-03-06,CLIENTE-869,Luísa Abreu,felipe87@example.com,Camargo,SE,PRODUTO-1152,Adaptador USB,Eletrônicos,5,1996.99,9984.95,Cartão De Crédito,Entregue,2026,3,Friday
PEDIDO-1037,2025-04-25,CLIENTE-618,Sr. Matheus da Mata,josue27@example.com,Almeida Do Amparo,DF,PRODUTO-3170,Sapato social,Calçados,1,1764.58,1764.58,Pix,Processando,2025,4,Friday
PEDIDO-1038,2026-02-16,CLIENTE-953,Anthony Aragão,jesusgabriela@example.com,Cassiano,SE,PRODUTO-5956,Porta-retratos,Casa E Decoração,5,65.26,326.3,Transferência,Processando,2026,2,Monday
PEDIDO-1039,2026-03-04,CLIENTE-206,Camila Caldeira,estheralmeida@example.com,Nunes Da Prata,SP,PRODUTO-5333,Blusa,Roupas,1,1497.71,1497.71,Boleto,Processando,2026,3,Wednesday
PEDIDO-1040,2025-03-25,CLIENTE-315,Valentim Camargo,nda-rosa@example.net,Dias,RR,PRODUTO-6617,Halteres,Esportes,3,1035.55,3106.6499999999996,Pix,Entregue,2025,3,Tuesday
PEDIDO-1041,2026-01-19,CLIENTE-533,Maria Luiza Casa Grande,emanuel39@example.org,Vieira Do Campo,RJ,PRODUTO-5533,Condicionador,Beleza,1,700.44,700.44,Boleto,Cancelado,2026,1,Monday
PEDIDO-1042,2025-07-25,CLIENTE-265,Ravi Lucca da Cruz,vitor-hugo67@example.com,Montenegro Do Amparo,ES,PRODUTO-8239,Garrafa térmica esportiva,Esportes,4,1143.77,4575.08,Cartão De Crédito,Entregue,2025,7,Friday
PEDIDO-1043,2025-10-30,CLIENTE-807,Arthur Miguel Martins,julia95@example.org,Alves,PA,PRODUTO-9938,Calça Jeans,Roupas,3,1185.89,3557.67,Boleto,Processando,2025,10,Thursday
PEDIDO-1044,2026-02-08,CLIENTE-415,Sr. Yago Ribeiro,gda-conceicao@example.org,Da Cruz De Da Paz,TO,PRODUTO-1653,Sapato social,Calçados,2,1380.03,2760.06,Cartão De Crédito,Processando,2026,2,Sunday
PEDIDO-1045,2025-07-21,CLIENTE-995,Beatriz Pires,pedro-lucas37@example.com,Da Mata,PB,PRODUTO-3532,Livros de programação,Livros,2,1953.6,3907.2,Boleto,Processando,2025,7,Monday
PEDIDO-1046,2025-10-15,CLIENTE-854,Vicente Mendes,vfreitas@example.net,Moura,SP,PRODUTO-5065,Corda de pular,Esportes,1,1585.38,1585.38,Cartão De Crédito,Processando,2025,10,Wednesday
PEDIDO-1047,2025-06-06,CLIENTE-936,Sr. Daniel Vieira,caldeiraeduardo@example.org,Da Luz,AC,PRODUTO-6728,Livros de distopia,Livros,2,484.7,969.4,Boleto,Processando,2025,6,Friday
PEDIDO-1048,2025-04-13,CLIENTE-985,Isabela Moura,wmoraes@example.org,Gomes De Caldeira,AM,PRODUTO-5573,Webcam,Eletrônicos,5,829.37,4146.85,Transferência,Processando,2025,4,Sunday
PEDIDO-1049,2025-06-28,CLIENTE-218,Laura Monteiro,xborges@example.com,Rocha,MS,PRODUTO-3925,Tênis de academia,Calçados,3,124.6,373.79999999999995,Transferência,Processando,2025,6,Saturday
PEDIDO-1050,2025-06-24,CLIENTE-905,Noah Peixoto,vianalucas@example.net,Ramos Verde,RO,PRODUTO-8149,Tênis de academia,Calçados,5,275.51,1377.55,Transferência,Entregue,2025,6,Tuesday
PEDIDO-1051,2025-12-12,CLIENTE-825,Maysa Rodrigues,ana-clara58@example.com,Moura De Rezende,MS,PRODUTO-1027,Livros de histórias,Livros,5,1389.37,6946.849999999999,Boleto,Processando,2025,12,Friday
PEDIDO-1052,2026-02-19,CLIENTE-780,Rodrigo Carvalho,marcelafernandes@example.com,Leão Do Sul,CE,PRODUTO-6143,Coturno,Calçados,1,1453.52,1453.52,Pix,Cancelado,2026,2,Thursday
PEDIDO-1053,2025-09-01,CLIENTE-518,Dra. Lorena Azevedo,heloisanascimento@example.net,Da Rosa Das Flores,AC,PRODUTO-7592,Chinelo,Calçados,5,298.21,1491.05,Cartão De Débito,Cancelado,2025,9,Monday
PEDIDO-1054,2025-06-24,CLIENTE-793,Henrique Machado,matheusmendonca@example.com,Nascimento,GO,PRODUTO-3851,Skate,Esportes,5,636.85,3184.25,Transferência,Entregue,2025,6,Tuesday
PEDIDO-1055,2025-08-17,CLIENTE-315,Bernardo Pacheco,zgomes@example.net,Jesus,ES,PRODUTO-6279,Mangás,Livros,4,912.21,3648.84,Boleto,Cancelado,2025,8,Sunday
PEDIDO-1056,2025-12-27,CLIENTE-915,Daniela Lopes,maria-luisa85@example.net,Macedo De Minas,AM,PRODUTO-3780,Luvas de academia,Esportes,1,603.38,603.38,Transferência,Processando,2025,12,Saturday
PEDIDO-1057,2026-03-04,CLIENTE-869,Sra. Ana Sophia Siqueira,das-nevesjuliana@example.net,Castro,AP,PRODUTO-6085,Vestido,Roupas,2,337.34,674.68,Cartão De Crédito,Entregue,2026,3,Wednesday
PEDIDO-1058,2025-06-15,CLIENTE-725,Sr. Dom Carvalho,hellenada-rosa@example.org,Albuquerque,SP,PRODUTO-2193,Removedor de esmalte,Beleza,4,1777.97,7111.88,Transferência,Entregue,2025,6,Sunday
PEDIDO-1059,2025-07-23,CLIENTE-493,Sra. Amanda Monteiro,da-rochaana-julia@example.net,Pacheco De Rocha,PA,PRODUTO-7547,Livros de programação,Livros,2,1329.31,2658.62,Cartão De Crédito,Entregue,2025,7,Wednesday
PEDIDO-1060,2025-10-27,CLIENTE-324,Erick da Rocha,nathan57@example.net,Câmara Do Galho,SC,PRODUTO-9486,Roupa íntima,Roupas,1,1136.94,1136.94,Cartão De Crédito,Processando,2025,10,Monday
PEDIDO-1061,2025-07-13,CLIENTE-575,Ana Beatriz Farias,allana89@example.com,Fonseca Do Oeste,DF,PRODUTO-9702,Garrafa térmica esportiva,Esportes,5,668.73,3343.65,Cartão De Débito,Cancelado,2025,7,Sunday
PEDIDO-1062,2025-12-07,CLIENTE-616,Emanuelly Cunha,jose-miguelviana@example.net,Ferreira De Minas,AC,PRODUTO-9976,Mangás,Livros,2,1500.13,3000.26,Cartão De Débito,Processando,2025,12,Sunday
PEDIDO-1063,2025-04-01,CLIENTE-353,Heloísa Cassiano,maria-claramonteiro@example.net,Silveira,GO,PRODUTO-5543,Óleo de cabelo,Beleza,4,1272.16,5088.64,Pix,Processando,2025,4,Tuesday
PEDIDO-1064,2025-04-09,CLIENTE-392,Emilly Cavalcante,kpereira@example.net,Aragão De Pacheco,SE,PRODUTO-5451,Shorts,Roupas,3,1791.4,5374.200000000001,Cartão De Crédito,Entregue,2025,4,Wednesday
PEDIDO-1065,2025-07-25,CLIENTE-492,Sr. Francisco Carvalho,milena48@example.com,Moreira Do Oeste,MA,PRODUTO-3503,Mochila esportiva,Esportes,2,175.25,350.5,Cartão De Débito,Processando,2025,7,Friday
PEDIDO-1066,2025-08-27,CLIENTE-525,Liam Dias,aparecidabeatriz@example.com,Oliveira De Aparecida,RO,PRODUTO-4388,Roteador Wi-Fi,Eletrônicos,4,1814.44,7257.76,Transferência,Cancelado,2025,8,Wednesday
PEDIDO-1067,2026-01-01,CLIENTE-883,Ana Sampaio,maria-cecilia56@example.org,Lima Dos Dourados,XX,PRODUTO-7865,Livros de histórias,Livros,1,1482.54,1482.54,Boleto,Processando,2026,1,Thursday
PEDIDO-1068,2025-10-09,CLIENTE-546,Dr. Arthur Sampaio,jose-miguel12@example.org,Dias De Moraes,SP,PRODUTO-1475,Livros de desenvolvimento pessoal,Livros,3,1354.3,4062.8999999999996,Cartão De Débito,Cancelado,2025,10,Thursday
PEDIDO-1069,2026-02-28,CLIENTE-578,Catarina Ramos,laraalbuquerque@example.org,Casa Grande,TO,PRODUTO-9751,Camiseta,Roupas,4,1204.19,4816.76,Cartão De Crédito,Entregue,2026,2,Saturday
PEDIDO-1070,2025-09-15,CLIENTE-238,Ana Sophia Vieira,upeixoto@example.net,Montenegro,RN,PRODUTO-8564,Desodorante,Beleza,1,557.3,557.3,Pix,Entregue,2025,9,Monday
PEDIDO-1071,2026-01-28,CLIENTE-445,Stephany Mendonça,hmoura@example.org,Pereira,MA,PRODUTO-7211,Gloss,Beleza,4,541.93,2167.72,Cartão De Crédito,Processando,2026,1,Wednesday
PEDIDO-1072,2025-11-19,CLIENTE-652,Cliente não informado,clarice28@example.net,Cidade Não Informada,XX,PRODUTO-1659,Raquete de tênis,Esportes,1,1901.74,1901.74,Cartão De Crédito,Cancelado,2025,11,Wednesday
PEDIDO-1073,2026-01-25,CLIENTE-229,Bento Teixeira,pmoreira@example.net,Da Paz,RN,PRODUTO-2874,Livros infantis,Livros,2,956.82,1913.64,Pix,Processando,2026,1,Sunday
PEDIDO-1074,2025-03-30,CLIENTE-721,Arthur Pinto,luiz-miguelmartins@example.org,Gomes,AP,PRODUTO-2876,Raquete de tênis,Esportes,2,1931.21,3862.42,Cartão De Crédito,Cancelado,2025,3,Sunday
PEDIDO-1075,2025-04-01,CLIENTE-419,Marcelo Barbosa,lvieira@example.org,Aparecida,DF,PRODUTO-2245,Vestido,Roupas,1,1409.53,1409.53,Transferência,Entregue,2025,4,Tuesday
PEDIDO-1076,2026-01-13,CLIENTE-679,Yago Almeida,britorafael@example.org,Lima De Gomes,RJ,PRODUTO-1672,Extensão de cílios,Beleza,5,885.34,4426.7,Pix,Entregue,2026,1,Tuesday
PEDIDO-1077,2026-02-02,CLIENTE-449,Maysa Sousa,joanafarias@example.org,Pires Do Oeste,RO,PRODUTO-7882,Controle de videogame,Eletrônicos,1,895.37,895.37,Pix,Cancelado,2026,2,Monday
PEDIDO-1078,2025-11-18,CLIENTE-570,Laís Silveira,danielacarvalho@example.org,Freitas De Lima,TO,PRODUTO-3506,Faixa elástica de treino,Esportes,2,1480.9,2961.8,Pix,Cancelado,2025,11,Tuesday
PEDIDO-1079,2025-08-07,CLIENTE-651,Lorena Almeida,caroline21@example.com,Da Mata Das Pedras,PA,PRODUTO-8921,Removedor de esmalte,Beleza,4,1660.18,6640.72,Transferência,Processando,2025,8,Thursday
PEDIDO-1080,2026-03-01,CLIENTE-351,Gael Henrique Vargas,mmontenegro@example.org,Fernandes,SE,PRODUTO-2419,Gloss,Beleza,4,525.53,2102.12,Cartão De Débito,Cancelado,2026,3,Sunday
PEDIDO-1081,2025-10-07,CLIENTE-488,Cauã Sales,araujoaylla@example.org,Santos Da Praia,SC,PRODUTO-1470,Scarpin,Calçados,3,404.59,1213.77,Boleto,Processando,2025,10,Tuesday
PEDIDO-1082,2026-02-24,CLIENTE-448,Enzo Gabriel Monteiro,eloah29@example.org,Caldeira Da Prata,SC,PRODUTO-5526,Tênis de corrida,Calçados,1,1057.42,1057.42,Boleto,Entregue,2026,2,Tuesday
PEDIDO-1083,2025-12-22,CLIENTE-516,Luiz Henrique Machado,ribeiroluiz-felipe@example.org,Montenegro,AP,PRODUTO-4937,Livros de drama,Livros,4,1309.51,5238.04,Cartão De Débito,Processando,2025,12,Monday
PEDIDO-1084,2026-02-13,CLIENTE-195,Dr. João Lucas da Cunha,miguelviana@example.net,Carvalho Do Galho,MA,PRODUTO-4630,Sapatilha,Calçados,2,647.1,1294.2,Transferência,Processando,2026,2,Friday
PEDIDO-1085,2025-05-21,CLIENTE-643,Rodrigo Vieira,fernando76@example.org,Santos Da Prata,SE,PRODUTO-7971,Tênis de corrida,Calçados,3,736.03,2208.09,Cartão De Débito,Processando,2025,5,Wednesday
PEDIDO-1086,2026-02-03,CLIENTE-336,Cecília Moraes,valentina77@example.net,Novaes Dos Dourados,PR,PRODUTO-4155,Mouse gamer,Eletrônicos,1,1498.62,1498.62,Boleto,Entregue,2026,2,Tuesday
PEDIDO-1087,2025-04-09,CLIENTE-595,Carolina Silva,vitor-gabrielsouza@example.net,Moura,PI,PRODUTO-9595,Tênis de academia,Calçados,3,1962.0,5886.0,Boleto,Processando,2025,4,Wednesday
PEDIDO-1088,2025-12-11,CLIENTE-283,Rebeca Souza,uda-mata@example.com,Novais Alegre,AM,PRODUTO-1231,Tênis de corrida,Calçados,2,584.91,1169.82,Cartão De Crédito,Cancelado,2025,12,Thursday
PEDIDO-1089,2025-09-27,CLIENTE-229,Luiz Fernando da Cruz,davi-lucas01@example.net,Montenegro Do Galho,ES,PRODUTO-9042,Bola de basquete,Esportes,1,1169.43,1169.43,Cartão De Débito,Processando,2025,9,Saturday
PEDIDO-1090,2025-03-30,CLIENTE-288,Juan Ferreira,antonella78@example.com,Pereira,GO,PRODUTO-5136,Controle de videogame,Eletrônicos,1,1653.13,1653.13,Cartão De Débito,Processando,2025,3,Sunday
PEDIDO-1091,2026-02-05,CLIENTE-744,Luiz Otávio Cunha,ryan42@example.org,Campos Dos Dourados,DF,PRODUTO-1878,Bola de vôlei,Esportes,2,1631.73,3263.46,Pix,Entregue,2026,2,Thursday
PEDIDO-1092,2025-06-16,CLIENTE-221,Isabella Machado,noah91@example.org,Mendes,RO,PRODUTO-7818,Porta-retratos,Casa E Decoração,5,1591.94,7959.700000000001,Boleto,Cancelado,2025,6,Monday
PEDIDO-1093,2025-10-15,CLIENTE-553,João Vitor da Conceição,azevedoyan@example.org,Carvalho Da Mata,MT,PRODUTO-8025,Chinelo,Calçados,5,1261.0,6305.0,Transferência,Cancelado,2025,10,Wednesday
PEDIDO-1094,2025-05-04,CLIENTE-881,Diego da Mata,maria-luisaaragao@example.net,Albuquerque Do Amparo,PI,PRODUTO-4457,Calça de moletom,Roupas,1,356.26,356.26,Boleto,Cancelado,2025,5,Sunday
PEDIDO-1095,2025-09-21,CLIENTE-102,Stephany Sousa,ayla22@example.com,Castro De Moraes,ES,PRODUTO-8381,Livros de drama,Livros,5,966.33,4831.650000000001,Cartão De Crédito,Entregue,2025,9,Sunday
PEDIDO-1096,2025-10-15,CLIENTE-389,Ryan Ramos,fariashelena@example.net,Araújo De Goiás,SC,PRODUTO-8438,Bola de basquete,Esportes,2,1851.63,3703.26,Transferência,Cancelado,2025,10,Wednesday
PEDIDO-1097,2025-09-24,CLIENTE-302,Bernardo Viana,elima@example.net,Barbosa Verde,GO,PRODUTO-2880,Livros de histórias,Livros,2,1312.89,2625.78,Pix,Entregue,2025,9,Wednesday
PEDIDO-1098,2025-11-10,CLIENTE-269,Valentim Sousa,jsilveira@example.net,Caldeira Do Amparo,GO,PRODUTO-6039,Secador de cabelo,Beleza,3,906.35,2719.05,Cartão De Débito,Cancelado,2025,11,Monday
PEDIDO-1099,2025-03-15,CLIENTE-512,Maria Vitória da Cunha,nicolefogaca@example.com,Sales Da Prata,TO,PRODUTO-9199,Tênis de corrida,Calçados,4,903.63,3614.52,Transferência,Entregue,2025,3,Saturday
PEDIDO-1100,2025-09-05,CLIENTE-852,Cauã Montenegro,enzo84@example.com,Nascimento Grande,AL,PRODUTO-5102,Tênis esportivo,Calçados,1,496.4,496.4,Transferência,Cancelado,2025,9,Friday
PEDIDO-1101,2025-07-22,CLIENTE-883,Sra. Laís Guerra,helena35@example.org,Das Neves Verde,AM,PRODUTO-5415,Skate,Esportes,1,1538.06,1538.06,Boleto,Processando,2025,7,Tuesday
PEDIDO-1102,2025-05-05,CLIENTE-552,Lunna Pereira,milenada-cunha@example.net,Moraes,TO,PRODUTO-3973,Tênis de academia,Calçados,4,1287.83,5151.32,Cartão De Débito,Entregue,2025,5,Monday
PEDIDO-1103,2025-03-18,CLIENTE-518,Amanda Montenegro,joao-pedrogarcia@example.net,Moreira De Pimenta,RN,PRODUTO-6260,Coturno,Calçados,1,1722.58,1722.58,Pix,Processando,2025,3,Tuesday
PEDIDO-1104,2026-03-04,CLIENTE-395,Davi Araújo,nbrito@example.org,Costa De Pacheco,BA,PRODUTO-7561,Capacete para ciclismo,Esportes,5,121.56,607.8,Cartão De Crédito,Processando,2026,3,Wednesday
PEDIDO-1105,2025-09-07,CLIENTE-218,Agatha Cardoso,ana-carolinacosta@example.net,Azevedo,AL,PRODUTO-7622,Óleo de cabelo,Beleza,1,1332.44,1332.44,Transferência,Processando,2025,9,Sunday
PEDIDO-1106,2026-02-11,CLIENTE-292,Dra. Melina Moreira,tsousa@example.net,Almeida,DF,PRODUTO-6927,Porta-retratos,Casa E Decoração,4,1269.55,5078.2,Cartão De Crédito,Entregue,2026,2,Wednesday
PEDIDO-1107,2025-12-03,CLIENTE-234,Srta. Esther Almeida,jalmeida@example.com,Guerra De Minas,AL,PRODUTO-8178,Scarpin,Calçados,1,106.3,106.3,Transferência,Entregue,2025,12,Wednesday
PEDIDO-1108,2025-03-18,CLIENTE-418,Samuel Câmara,anthonycaldeira@example.org,Teixeira,SE,PRODUTO-1224,Planta artificial,Casa E Decoração,4,231.76,927.04,Cartão De Crédito,Processando,2025,3,Tuesday
PEDIDO-1109,2025-12-29,CLIENTE-763,Ana Beatriz Farias,ucamara@example.org,Fogaça De Goiás,MA,PRODUTO-3522,Removedor de maquiagem,Beleza,3,1042.3,3126.8999999999996,Pix,Processando,2025,12,Monday
PEDIDO-1110,2026-02-21,CLIENTE-583,Antonella Alves,esthermendonca@example.org,Guerra De Goiás,BA,PRODUTO-8483,Bikinis,Roupas,2,797.99,1595.98,Transferência,Cancelado,2026,2,Saturday
PEDIDO-1111,2025-11-27,CLIENTE-239,Rafael Cirino,carolinerodrigues@example.org,Machado,AP,PRODUTO-2143,Gloss,Beleza,4,712.76,2851.04,Transferência,Processando,2025,11,Thursday
PEDIDO-1112,2025-12-17,CLIENTE-389,Maria Fernanda Araújo,vmoraes@example.org,Pacheco De Costa,AM,PRODUTO-5891,Capacete para ciclismo,Esportes,5,1180.85,5904.25,Cartão De Débito,Entregue,2025,12,Wednesday
PEDIDO-1113,2025-08-18,CLIENTE-595,Lorena Cassiano,da-cunhamarcos-vinicius@example.com,Da Paz,DF,PRODUTO-6446,Tênis de corrida,Calçados,5,785.56,3927.7999999999997,Pix,Entregue,2025,8,Monday
PEDIDO-1114,2025-12-12,CLIENTE-344,Lucca Silva,leticiaramos@example.com,Caldeira,ES,PRODUTO-7274,Espelho decorativo,Casa E Decoração,4,135.11,540.44,Cartão De Débito,Cancelado,2025,12,Friday
PEDIDO-1115,2025-10-10,CLIENTE-490,Raquel Sousa,giovannamendes@example.net,Moura,SE,PRODUTO-3492,Mangás,Livros,1,296.18,296.18,Transferência,Processando,2025,10,Friday
PEDIDO-1116,2026-01-30,CLIENTE-995,Gabrielly Duarte,emanuellamarques@example.com,Rocha,CE,PRODUTO-8213,Protetor solar,Beleza,5,1825.36,9126.8,Cartão De Crédito,Cancelado,2026,1,Friday
PEDIDO-1117,2026-03-11,CLIENTE-991,Bryan Cavalcanti,das-neveslorenzo@example.org,Da Cunha,AL,PRODUTO-3529,Bola de basquete,Esportes,4,1573.97,6295.88,Pix,Processando,2026,3,Wednesday
PEDIDO-1118,2025-05-29,CLIENTE-507,Valentina Martins,ferreirasophie@example.org,Mendonça Do Galho,DF,PRODUTO-2315,Capacete para ciclismo,Esportes,3,1712.07,5136.21,Transferência,Processando,2025,5,Thursday
